%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 4
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute class {0, 1}
@data
536.3435,13.476868,-333.94153,154.44946,1
-773.86035,-553.24915,-236.69458,432.21887,1
-179.65161,-911.38116,-490.3201,-766.8574,1
-738.39624,-15.762268,-967.98975,666.96545,0
937.81824,-753.4098,-516.4378,475.70227,1
407.28503,179.00964,-402.95734,405.9287,1
883.88696,85.78113,-535.35,-208.4021,1
953.2842,289.46716,89.239624,-214.52863,1
712.9796,-222.73334,301.04614,799.20166,1
966.2014,-723.2457,-16.617065,-632.54224,1
-507.86993,-217.93542,-275.43256,903.44104,1
-129.9353,-665.22437,-750.35126,627.58997,1
-147.28937,209.45862,284.34143,328.22595,1
-136.15717,-437.94135,-135.09882,-447.65186,1
-161.81927,69.97644,-468.50037,326.73157,0
326.38513,-874.07556,328.99072,573.94507,1
-444.32935,-256.6676,-912.21643,-985.14935,0
-33.399902,-510.71857,68.869385,-461.39587,1
-360.79083,-518.35046,-269.1264,-226.87262,1
-23.313843,-229.64716,-886.663,903.47656,1
-967.59015,268.27148,129.25427,-337.51514,0
-53.773193,-194.34827,921.2285,857.50806,1
98.42798,-147.52173,-640.57227,-200.94073,1
794.96204,-13.484436,745.8572,561.56775,1
-434.99957,-719.58215,-161.71045,133.45264,1
-517.95056,-560.48706,418.52478,203.15381,1
312.38037,-257.43402,-196.5238,-420.2823,1
749.6267,621.0344,933.9114,-939.01495,1
-488.01923,58.026367,974.5006,939.38574,1
-341.51093,896.3805,720.1581,-725.20636,0
-876.4612,-384.01477,-472.51495,565.85205,0
-826.30786,173.66064,-23.54541,-484.36945,0
-741.3883,94.630615,-983.69403,-785.5709,0
-442.10425,162.8114,-39.0567,-748.0041,0
-581.7804,-222.14929,372.9618,-976.6177,1
830.2584,-669.948,611.7544,807.10706,1
-887.5546,790.02246,619.9774,71.25903,0
48.6958,118.08557,383.98315,902.6172,1
-130.19385,69.204346,427.65686,455.82385,1
-326.68256,-497.63965,685.4209,-115.904236,1
-855.7935,-600.95654,-851.00226,339.91382,0
-231.14911,453.70215,-206.14496,-676.41455,0
-872.7121,319.71313,465.07812,909.5238,0
-696.1311,377.63257,-361.25183,-805.45447,0
-26.013733,238.18872,273.73108,-310.56317,1
304.63025,-899.31555,-669.89087,314.49634,1
-550.89044,558.1793,954.3169,161.71045,1
-878.65216,-525.9754,-182.63,250.6759,1
-497.25134,150.02344,641.406,132.33179,1
-435.30475,164.70154,561.07947,-615.978,1
782.334,-19.136353,640.1875,-208.6449,1
-829.6341,704.8262,-399.77325,326.79175,0
589.1494,-774.588,616.411,911.8314,1
349.49597,-631.0007,898.00757,389.13208,1
287.11755,-322.38074,-306.32074,-867.1535,1
682.7643,950.3002,-651.15497,-710.08887,0
671.66736,-216.4408,90.90161,-228.02301,1
306.49744,115.84131,432.7201,112.47754,1
-685.02045,-362.66663,-823.0698,-436.7954,0
336.04785,609.86475,365.72217,-389.4873,1
-62.380127,391.58606,476.16846,640.4868,1
-218.50836,382.2256,613.2532,-32.255432,1
80.7218,326.8994,-459.729,222.24792,0
-171.94019,-548.41064,-898.36237,-485.40985,1
659.73596,-159.98358,965.9083,-45.47534,1
111.51184,182.3424,290.6266,849.4592,1
978.9657,-690.66516,-353.04303,224.08752,1
511.56396,771.334,-659.1206,-820.713,0
250.15515,129.56177,129.05432,47.862915,1
460.0885,-401.97882,-748.7053,-693.3273,1
317.25293,207.42773,687.9083,-230.88306,1
271.8949,-241.66919,-400.99707,-291.06268,1
345.16467,-511.22705,-985.8246,-744.2853,1
-494.09186,-397.45166,14.832031,654.4127,1
730.3086,-412.6817,887.7178,795.7676,1
-135.44623,-402.45172,27.058838,-198.72516,1
-9.21521,85.43298,-275.94788,385.98022,1
639.1637,333.67786,-593.7395,-775.7672,0
893.96985,577.21216,-624.19434,-391.98914,1
-790.7842,996.6067,-355.92487,314.38818,0
579.35364,24.17688,-928.0131,788.1559,1
-396.78265,124.453735,-301.3119,-502.4261,0
-65.57471,-506.09305,-122.112305,635.6732,1
629.0486,970.5073,-360.14722,216.48914,0
-18.575623,851.9237,558.42773,55.05493,0
-418.4251,291.84534,326.26086,-878.06116,0
-467.23077,477.12964,-772.24646,327.5631,0
35.343384,-115.82562,-251.92627,918.4934,1
872.9739,-428.87854,-332.09528,357.3413,1
730.1742,683.19495,-832.57306,809.87915,0
724.86707,-868.3121,-300.63965,177.41199,1
-942.5405,-247.19135,689.72144,-10.586731,1
257.92554,160.80383,-513.72205,410.87646,1
-845.01556,980.4783,398.51306,120.794556,0
396.5337,177.43408,159.23682,-117.37427,1
-881.9204,800.05396,-313.18665,-745.4364,0
-814.0167,-394.53998,-361.701,76.8772,0
334.91956,762.37744,-82.38605,125.54431,0
474.02393,107.04004,-960.7995,-364.1502,0
453.77966,-726.02344,46.446777,276.57935,1
-334.2213,-568.283,-454.5158,594.8873,1
-9.937134,-675.8347,-661.2062,-46.12793,1
809.83594,-148.41388,129.38806,549.34705,1
-919.0902,-479.14386,-184.84332,219.24695,0
-226.6695,-247.1662,-995.6992,-551.43884,0
-604.7955,255.4043,-443.3991,224.64246,0
763.8269,453.9619,191.59705,212.1875,1
706.78796,-683.20984,503.5857,-905.85364,1
-44.183533,821.0089,-915.3346,864.2599,0
138.69202,-224.54364,880.8932,358.88977,1
479.64136,750.07983,-607.059,380.25073,0
586.20667,-542.8898,881.46765,-609.89246,1
-469.3421,-912.5002,348.75537,942.45996,1
-673.4075,-173.19495,741.9791,775.6815,1
856.45166,57.900513,-440.18353,-200.95953,1
323.2516,603.6112,842.9227,-914.5221,1
379.9165,770.5552,-609.8685,421.9746,0
232.16821,926.19165,-33.932617,970.79065,0
-783.9886,874.2717,-747.8168,-840.68713,0
618.433,389.59265,342.06482,-956.7967,1
840.0044,-68.840576,693.17505,76.98779,1
-609.3368,-226.43744,621.0327,478.1836,1
-334.97876,579.57886,658.1559,-814.4844,0
961.12964,-217.28748,398.92322,-211.27924,1
786.7053,56.589844,812.83594,-253.10083,1
-860.5951,618.82935,432.49158,-285.68036,0
-847.1932,-849.7915,-691.09064,857.041,1
-732.65515,-294.34558,-824.32587,670.6643,0
915.5094,151.78638,-125.30682,-1.015564,1
603.2151,-613.55817,770.1915,-294.73785,1
224.3097,-121.17584,-386.10413,762.2904,1
462.77588,914.60596,123.18689,404.3828,1
-782.73975,338.5332,-604.67065,-576.13464,0
125.136475,-442.22662,-795.2866,-303.39685,1
-531.6096,102.45508,-783.62537,585.55176,0
-988.8054,135.5503,-802.118,-1.729187,0
-350.88538,-37.545593,-576.984,563.7938,0
142.469,811.31824,-365.5155,-353.7998,0
661.44446,938.39624,-830.74585,-273.30994,0
388.1421,-541.62946,148.90076,-937.0887,1
0.8137207,-792.18005,-1.2875977,-526.2521,1
-491.87894,-579.2977,983.1061,599.7257,1
-393.66962,-972.07715,931.2472,53.649048,1
499.9342,-11.234192,875.58887,503.0315,1
-43.73163,-779.83386,-62.623352,-84.658936,1
257.271,-589.49475,-533.0077,-50.97113,1
-333.38965,-712.1847,-816.6618,-212.23334,1
47.9812,757.9807,-144.70819,592.27075,0
350.45557,-263.27258,-70.41083,-816.4574,1
-180.6565,-530.1034,-566.67834,573.30945,1
996.10364,-330.30188,-534.43774,-478.09778,1
838.41833,-109.65381,-358.53778,-569.23865,1
621.6282,-775.3191,963.4883,566.2119,1
-324.70422,624.08276,-231.69879,863.1051,0
463.75208,927.1904,-365.9015,-628.6235,0
-962.9496,-971.36584,432.0807,785.52136,1
-541.1633,527.20374,-932.9802,-563.55585,0
-539.7814,-336.4322,875.7435,627.0908,1
-726.20154,390.86975,138.67432,257.72412,0
369.60742,17.223816,708.38904,313.66016,1
-355.23608,-982.65753,-629.50323,-22.270325,1
-488.75095,-668.7745,-774.0446,-118.30994,1
-718.72266,751.04736,120.282104,325.25867,0
267.3141,843.08044,-56.065125,-831.6033,0
93.871826,259.69568,489.474,-458.07556,1
860.7947,267.18542,474.94006,-476.50018,1
-997.18195,848.3574,329.21045,-509.55045,0
-42.22931,-165.45288,383.93005,-12.109924,1
85.861206,179.90784,227.93396,-359.96582,1
-324.92816,-288.4696,153.91077,884.5271,1
322.7605,-527.8431,-136.61505,-875.8872,1
-498.85278,-882.0514,894.92114,266.88245,1
694.443,741.97705,-398.21545,565.81055,1
-862.0443,-35.193665,929.1179,-829.76196,1
894.5835,-833.26013,-272.97595,-133.58716,1
771.68945,332.00806,-115.22803,111.15442,1
411.42395,133.37463,182.67102,652.15955,1
-219.85742,-393.65448,-568.0122,-219.58002,1
-762.3548,-954.6372,209.60571,574.67773,1
-615.46185,-399.92432,292.95935,-625.2062,1
-33.897705,457.97705,-237.90082,-839.6369,0
-746.37463,470.4016,-340.4254,512.85583,0
-470.76324,-387.917,-914.8526,-595.97363,0
567.8601,760.1704,-348.81915,-819.7246,0
-660.02185,-63.189697,-664.12854,-197.88763,0
551.4807,-619.9022,-54.67566,649.8109,1
-908.05237,591.4099,-368.20148,20.808838,0
-19.707825,-147.16565,214.27527,821.3544,1
-23.224915,616.60767,408.83508,-105.64575,0
-327.03015,-360.81403,500.15186,-72.668274,1
-423.65594,765.76794,-528.2551,-51.14142,0
473.6975,-133.20172,161.45557,-951.2279,1
-812.2253,586.17896,-380.0561,146.9497,0
-266.05,-718.379,523.82947,387.35864,1
838.9597,820.7727,-768.5738,48.55713,0
-198.76562,742.4617,867.8539,738.7737,1
-247.53656,-299.40753,-312.36884,83.14563,1
522.6008,-921.05536,-113.310974,112.649536,1
515.5989,198.31921,22.065979,128.71204,1
270.73767,-366.8164,-753.6198,-55.560974,1
-285.50757,-186.82983,-324.5041,92.857544,1
500.46094,-694.51575,381.63586,-155.4831,1
289.95215,957.4828,740.51355,-308.75336,1
-656.5873,424.38684,159.89221,329.82568,0
-627.051,515.2943,-421.6985,-881.2331,0
248.77881,261.36243,-453.5243,-516.6229,0
-142.47504,-356.76733,190.39893,808.702,1
177.84131,-489.5254,-96.3219,-13.075989,1
468.94128,-615.97253,228.2865,975.22864,1
360.1748,-446.67993,56.553467,-527.88794,1
-415.1222,162.9574,-976.3998,134.55261,0
-880.6988,829.5593,-241.74738,-364.57373,0
567.49585,-262.45605,-478.2116,299.99353,1
775.6162,-866.64856,-312.29474,62.243896,1
864.1797,670.80396,502.0232,-953.66644,1
-865.6032,-843.99585,612.46436,-794.69385,1
-365.23413,898.3755,-33.820435,-861.2593,0
566.7057,-904.84784,849.52234,-537.0785,1
-836.9258,-540.1723,-920.3061,921.5801,0
191.0033,650.777,-343.08386,-197.78754,0
-189.44574,-35.53247,547.1156,-837.5751,1
-836.7197,-771.6207,688.92786,-127.28021,1
769.8572,861.9564,-194.83698,546.5808,1
-416.47693,-330.38275,147.69873,55.67444,1
-623.8524,88.049194,-83.9032,517.43445,0
26.32483,-669.2761,764.0659,394.2517,1
233.96753,155.76624,-455.7765,657.9415,1
-796.5455,829.0144,-759.5647,-149.88037,0
-82.53668,262.3152,-101.65875,308.56287,1
-233.80347,-722.203,-711.4966,-168.40741,1
-498.20917,482.06934,-977.05975,616.96436,0
755.2732,-670.0001,894.6398,438.7052,1
-316.4911,-384.07916,320.9712,-285.2079,1
-293.83716,-149.1737,945.7439,370.5166,1
-252.22516,767.3159,690.9923,216.83545,0
-82.37396,539.75073,848.3872,-60.04004,1
140.1543,-784.71106,161.51111,737.8893,1
891.2517,-677.8325,-725.94525,-858.45337,1
900.85754,-345.19397,-594.67224,-377.37036,1
449.83716,-168.99347,663.2969,-782.75916,1
719.2157,374.72925,16.699463,-416.18506,1
-457.58667,798.6262,621.6057,665.8153,0
-133.79199,443.7173,934.131,444.1239,1
-756.2726,-320.70203,-160.17285,-858.9996,0
762.8535,474.3711,891.6116,-323.05554,1
-44.003296,-677.4063,671.92114,-816.2597,1
442.27966,35.94165,-718.89746,941.4252,1
-679.2549,-982.0112,-997.1161,233.8678,1
-336.7193,-714.0928,309.09607,-692.8983,1
-151.4643,-269.00574,539.64355,-133.48962,1
-66.82373,890.7373,-169.94891,363.4109,0
-225.58972,-148.87079,-842.2591,-301.45886,0
197.78589,806.15186,739.5232,909.4053,1
-853.1498,272.04614,-563.3893,-89.61505,0
-543.6707,987.19165,-690.2015,-581.01953,0
-341.9295,124.12305,16.2724,828.49414,1
59.06665,-401.59027,-649.15424,976.927,1
-776.5417,979.8334,908.2451,513.80615,0
945.4896,794.4973,-420.60272,-118.87909,1
817.9706,-147.79358,393.49878,-198.50659,1
580.8777,641.6582,78.973145,-393.8366,1
-422.69855,-193.30823,-359.74554,737.3225,1
-150.96979,250.0404,233.65991,323.78406,1
671.6332,-493.26093,-325.5556,855.92896,1
-341.01086,-312.4579,-981.5432,675.3191,0
959.782,-486.5937,-164.35284,246.32642,1
523.562,745.30115,-970.9985,991.57654,0
-68.447266,-340.69116,-648.69196,849.95776,1
-132.54034,-874.8189,133.48901,-344.59692,1
-53.88672,317.22168,162.05835,-63.396667,1
-677.1382,-880.432,-870.4055,802.2621,1
274.2024,883.6477,-369.0542,203.45874,0
770.2201,353.78845,289.214,54.137695,1
-48.017517,-702.3356,269.3888,-557.3068,1
382.11377,661.46277,173.8357,-517.92334,1
954.3519,915.3611,112.666504,-777.1982,1
427.97058,-336.89557,603.35144,-507.32047,1
-304.4745,-439.8208,-122.242676,529.0653,1
-902.53796,118.27966,161.12622,-166.14417,0
-635.2999,69.46924,-463.66058,808.42725,0
-899.6095,621.6395,-881.8677,415.1532,0
104.61438,157.57532,-564.23596,-635.8957,0
300.87622,-286.86462,-841.0356,-862.02527,1
540.8176,-84.23883,-399.1848,545.23926,1
143.65979,-27.267334,-207.4524,430.9972,1
669.4579,-230.71167,-650.9321,676.91077,1
130.33044,-830.0668,-169.65076,686.10034,1
611.4042,211.96143,-147.34198,-824.1879,1
-896.70593,38.42041,814.9092,-709.8766,0
240.51367,-861.5487,779.27515,796.9116,1
595.2932,746.13855,-218.50104,447.75684,1
-806.14325,-905.2913,645.1919,456.4071,1
2.2908325,631.11914,-764.2762,-509.11264,0
-728.2866,-733.2185,-986.8584,576.28577,0
-162.46875,273.3673,729.88,-130.29749,1
-264.84863,-471.65228,-832.1423,-604.1959,0
-175.41022,-526.8804,920.87854,-479.12726,1
509.00073,367.2771,402.08618,-804.80054,1
-912.775,-794.213,-507.45032,-191.88013,0
798.0366,-988.46704,-454.11578,-123.05585,1
193.84424,123.894165,825.1394,730.4868,1
-875.8189,574.728,-127.982056,-150.14282,0
-685.6033,676.3297,-205.18909,593.61865,0
-707.45984,-458.35468,10.270569,661.38477,1
-752.4945,415.21643,585.963,839.3699,0
-705.9157,-585.9616,3.4752197,323.36218,1
575.65137,560.7184,-100.82062,-770.95044,1
652.78796,837.0211,138.0824,776.569,1
706.2206,394.09326,437.61926,-924.3843,1
225.03955,-973.63806,682.0774,-560.6083,1
-943.77,549.30505,-945.33655,720.13306,0
959.1345,-183.00659,-836.9415,-714.0952,1
-861.4592,773.5094,445.62793,-52.19403,0
622.66345,153.0498,319.28845,398.6831,1
807.3749,226.7218,-233.6435,538.89844,1
5.6083374,-660.2538,356.5327,441.65857,1
420.9442,890.98474,61.506958,649.8557,1
606.9597,-122.58954,-356.5052,-1.666565,1
-820.9917,-840.6564,885.34143,-780.06335,1
312.66663,-802.0191,478.66553,-779.3386,1
393.17004,-825.05585,997.83386,-901.3273,1
72.73181,124.28284,-938.60706,733.9115,0
947.72327,-9.434692,518.9082,89.46472,1
-914.7346,372.3954,-700.0095,242.8258,0
708.8655,-881.1011,423.6184,-395.37177,1
495.30823,-82.57837,589.6925,784.3821,1
140.08643,-456.11127,-238.91638,-872.7962,1
116.23987,-457.02478,193.27148,-927.5226,1
881.5458,-236.55804,-520.0101,-825.1593,1
