%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 3000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
510.59595,-743.45154,0
131.60486,-96.62891,1
677.9939,422.48474,1
-881.1113,717.68176,1
-539.4061,-174.10638,1
-191.81482,696.86597,1
56.662964,-57.11963,1
-558.2435,-257.6053,1
-28.878052,182.4945,1
-22.853455,-131.42267,1
-471.45062,-585.4556,0
-913.5858,-466.94977,1
999.4059,734.3662,1
642.15344,256.7406,1
-819.149,714.61096,1
-897.0397,-731.2794,0
306.72498,-119.56409,1
275.45935,-321.05902,0
756.97034,693.32043,1
556.9513,-488.08765,0
194.97192,-59.950623,1
-47.796875,826.9833,1
-517.99854,97.239136,1
909.85095,105.93811,1
1.1451416,978.1072,1
-661.66077,-893.7814,0
-131.19116,767.01514,1
38.273926,-541.8483,0
-79.91028,408.6432,1
227.52148,427.141,1
325.0078,-757.5176,0
-162.66486,-533.1393,0
-774.202,759.65784,1
-177.75232,-542.93164,0
-118.8385,-592.07324,0
-146.58142,849.72815,1
461.58105,482.0194,1
454.57996,-660.28125,0
860.5073,-689.6752,0
-108.322876,131.47546,1
-330.57367,-814.75586,0
941.7527,390.4934,1
-189.47784,-216.63043,1
-956.423,48.700195,1
-771.1497,-817.0302,0
-728.0193,-224.7185,1
-483.3578,-989.9059,0
-920.2023,-370.37915,1
375.563,-269.06647,0
815.7803,680.5978,1
-581.5512,-343.09296,1
653.8019,706.5596,1
970.2529,840.26733,1
758.1151,-17.134583,1
248.63159,-288.1491,1
-738.614,118.97827,1
587.807,48.92285,1
-53.32007,-75.34363,1
-784.9568,659.8972,1
401.52515,-635.1224,0
-502.7218,34.039673,1
-148.36499,-194.29639,1
546.1571,-871.91003,0
-116.175964,-41.625793,1
602.91187,-551.93274,0
832.1019,196.49512,1
720.24133,633.35034,1
-272.11212,-748.7347,0
-83.45587,-138.54486,1
404.73657,682.2637,1
198.56042,565.7549,1
599.9232,-23.603088,1
-368.31384,194.72278,1
709.68726,645.1854,1
-17.081604,40.099854,1
231.88428,-729.355,0
369.60364,522.72156,1
869.256,-907.4024,0
-182.14575,748.56433,1
-231.52582,-564.67584,0
-332.29248,-366.09845,1
434.56995,39.050537,1
-642.19543,-552.71545,1
487.31653,-808.1649,0
280.5653,-772.60333,0
615.5791,450.00452,1
119.5437,-790.3486,0
-162.3924,690.364,1
363.84814,130.7384,1
489.69226,254.98425,1
540.2145,-920.85535,0
242.56299,29.446533,1
111.524414,421.01245,1
-115.63837,438.0055,1
961.26294,254.51526,1
610.96985,-455.7921,0
-83.387024,-167.72919,1
-871.0682,-286.9178,1
-141.41162,-559.87067,0
-996.8408,621.0928,1
-374.19153,-667.9896,0
