%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 20
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute attrib_7 numeric
@attribute attrib_8 numeric
@attribute attrib_9 numeric
@attribute attrib_10 numeric
@attribute attrib_11 numeric
@attribute attrib_12 numeric
@attribute attrib_13 numeric
@attribute attrib_14 numeric
@attribute attrib_15 numeric
@attribute attrib_16 numeric
@attribute attrib_17 numeric
@attribute attrib_18 numeric
@attribute attrib_19 numeric
@attribute attrib_20 numeric
@attribute class {0, 1}
@data
567.31213,717.02783,-517.3085,81.90625,-198.55939,-363.9466,974.1332,-227.43561,206.38281,215.1018,-398.9895,325.22375,716.12244,753.494,-264.4698,-82.942566,-386.37158,-656.2761,895.01843,153.40479,0
23.341919,221.17139,-396.27173,657.6029,-315.0183,-166.85901,-746.59564,351.72888,8.488403,-860.75354,506.3684,554.5375,-49.061523,461.81018,-517.8469,-764.2368,-390.22406,324.07886,-521.522,291.35437,0
592.72644,145.70288,299.62585,542.08777,-796.72766,409.06665,-599.95496,308.41162,271.58398,966.6948,998.2676,877.2501,64.3186,529.10425,-924.0012,-48.1037,122.71179,54.107544,-250.49835,264.0077,1
106.90381,-247.27948,-114.839905,927.1127,765.45996,-266.54053,28.377197,-176.07495,2.5552368,-74.039185,724.7245,345.15308,-318.68616,-143.50659,134.5282,-864.6153,280.3086,-907.9259,-523.16016,-847.98535,0
811.23816,726.5397,-713.99036,306.07605,509.31958,-848.932,-276.15955,229.22559,723.94604,-466.7207,262.57166,299.02393,165.67871,-76.804565,-61.297607,955.0425,206.65222,-289.03174,-925.065,-448.7798,0
-715.0053,280.4336,877.27954,-484.71857,629.87463,-865.8124,636.62976,-576.0797,-497.69543,-489.9807,-601.11456,752.8451,937.84607,-434.82068,-85.03992,-476.33313,580.8773,574.1011,-558.21826,-154.99084,0
-383.90118,266.83167,537.6571,433.10364,31.470337,-570.426,-619.8634,597.52966,487.78467,-804.62305,-668.2164,-109.3573,-76.396545,-927.84393,-510.98447,-355.3659,-309.70746,-313.13635,-228.54852,958.04504,0
-509.58865,-531.22894,-256.0337,343.9591,-316.273,-948.53516,-189.08472,-785.0198,628.6378,-957.7011,681.76196,655.49695,642.80884,-10.313293,79.60449,519.6256,-104.66577,-127.242615,548.8629,-206.38751,0
83.76172,244.53906,915.6565,-625.6322,-897.1755,-721.0233,464.1615,941.1952,77.74646,403.72888,-785.4869,435.6692,-886.5008,944.8296,-177.42896,-184.99365,-97.59448,265.9431,569.14343,207.16284,1
-63.99884,-745.9202,666.0227,-628.71387,483.0802,685.27893,678.4546,455.0359,724.36536,997.91113,248.43103,-559.3194,-524.7366,307.88623,500.45398,-615.23267,-218.32495,-880.80023,-478.80627,581.55383,0
339.85107,-885.1141,126.72412,-881.7209,-830.2022,-342.40802,-234.21698,-59.25476,-737.2479,-814.3772,854.775,510.56604,-973.2381,-440.54962,99.997314,-589.1632,270.42273,-404.67963,-565.1664,844.8646,0
-806.66187,-483.26947,-915.5691,872.99036,-607.1143,861.1953,967.6344,445.42615,250.3872,498.85083,155.7262,-185.58014,-774.20306,851.098,-570.2254,746.9524,568.53674,-858.3818,-886.82886,-890.4412,0
-256.87653,568.7395,-696.8063,859.7612,471.74976,-342.7284,385.203,-746.0126,-288.00665,729.5668,285.34277,169.74084,-883.65234,429.70642,-697.6173,-159.81946,-438.71887,541.3523,-443.3957,-987.84344,0
