%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 10
% vectors count = 3000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute attrib_7 numeric
@attribute attrib_8 numeric
@attribute attrib_9 numeric
@attribute attrib_10 numeric
@attribute class {0, 1}
@data
-172.21936,-689.1531,45.7218,717.35095,689.1223,409.8645,-255.14197,764.5845,-886.0236,47.05786,1
984.34607,284.4823,-511.79477,582.04407,-585.9501,441.3623,213.37866,-940.788,142.9159,-134.70776,1
145.27405,-814.8125,60.033936,-343.5573,-431.36694,430.6455,537.2018,-907.32697,-710.2208,-768.86334,0
9.633911,594.1238,-350.59656,-564.56903,-816.58795,953.6642,41.027588,386.20056,432.72607,359.62415,1
866.35974,-683.2999,-673.0914,-682.68335,-233.0423,108.42578,166.71826,218.43445,442.31958,878.5641,1
911.2794,-987.5154,-602.2743,352.37085,-58.45691,-797.99866,-439.14435,-475.55426,-266.92023,-786.6446,1
-135.58801,724.1992,700.4762,-912.4423,612.68066,874.635,227.55481,-609.468,-266.83606,-530.09985,0
-787.9088,259.91003,860.1249,595.88086,-669.34344,-414.52045,605.0841,179.45471,668.66614,462.99683,0
-659.9856,575.8319,-637.33325,-733.8517,-647.8208,589.7539,466.35156,949.03015,325.26794,75.13721,1
378.73914,-478.41327,759.6808,369.08643,-137.58557,-966.9677,-834.47986,990.02234,931.6727,-146.64508,1
645.0503,-733.99567,704.87,560.58044,827.0862,858.14966,692.2295,-678.44604,23.981201,-494.6169,0
929.8124,296.5724,-47.420105,-259.42084,872.3082,303.28076,-606.2886,814.48474,-978.23987,742.8241,1
-239.50232,-387.3609,896.28735,-378.67773,703.9564,961.83936,132.32458,392.31494,-394.91962,-603.4794,0
265.84888,300.9027,-914.2217,-808.2433,-947.48224,927.88794,-483.23358,-731.59143,-936.40265,-287.70667,1
908.7012,437.27905,-265.99023,-626.77673,543.54834,372.96106,-959.2159,357.09973,-763.6138,694.3904,1
-445.35168,-296.10663,213.54419,577.94995,-265.54926,56.039185,251.17908,440.2915,-976.445,926.3135,0
939.09875,-598.1245,559.3047,796.0178,717.8412,-521.4437,121.107056,-867.599,-317.27606,-252.63422,0
319.6377,-5.6757812,-943.2208,-906.0204,969.1218,-462.2456,-294.8056,573.17664,86.601685,437.74805,1
-902.9171,-100.0697,-973.44867,-988.8338,-283.89307,-862.39905,-113.846985,-345.5606,79.686035,261.02148,0
-493.99536,103.280396,247.2196,-53.89679,142.97827,-23.681763,980.96106,673.911,206.40552,82.208496,0
-431.1187,35.98877,-674.2856,-950.15027,-272.9383,-10.956421,457.10217,983.91626,-30.135681,730.9226,1
-261.22565,-947.0048,369.32385,-143.85095,368.73853,-814.80743,-279.0865,498.10876,-93.907104,-623.8469,0
-208.9599,276.30676,-913.7988,-492.98502,542.32275,40.94409,492.10278,24.900879,15.917908,-356.60974,1
-761.04614,-643.8778,895.853,-740.043,-794.74426,-497.6474,688.5348,-842.29504,-715.9276,912.6078,0
-78.69672,214.84619,629.3992,-571.05896,797.103,-5.3704224,-62.708252,-128.65326,-661.9522,720.42896,0
-571.67773,657.4413,-791.14233,111.07617,-612.6207,-254.93304,-868.14886,-290.68475,-131.21643,141.0448,1
88.37695,72.578735,489.1443,-763.12024,-652.7258,-5.8847656,-892.66797,312.29846,-230.84802,-216.17407,1
-369.60052,690.0803,805.9839,561.9979,186.23499,-769.2809,148.71436,505.4463,-531.8169,123.03064,0
71.277954,-965.59094,-816.1752,256.89954,177.63647,-960.1365,229.55823,-143.06061,479.13892,-575.2357,1
-535.4224,510.9137,-487.28284,-530.97076,772.2987,-755.65186,-443.87158,826.927,474.2345,-127.16168,1
904.6627,326.85022,-899.22516,-493.86053,-355.56573,-832.71454,-974.71924,783.1997,390.57886,-410.8816,1
532.3534,-815.1229,-945.6152,653.24146,-481.90637,-398.83917,861.5846,363.7605,209.62085,-777.708,1
-435.25964,50.921997,43.070557,778.2599,-924.1405,664.21545,-846.25385,-831.27325,591.0757,-575.073,1
-190.94733,-394.4873,687.4402,-851.24426,-445.708,532.34973,842.56616,-527.0738,-156.64612,-208.3075,0
361.07422,-791.43726,-509.21002,-224.0473,787.48975,87.91699,-591.2905,630.5985,543.44714,287.36987,1
-218.60901,-30.855835,-252.24335,-719.0443,-917.5444,-984.87335,961.0945,-184.51447,153.90198,603.75024,0
-57.21936,97.17505,-56.746826,55.95398,-584.6907,-358.9917,434.52454,-419.7638,303.00293,-342.09955,0
810.6677,562.6504,944.3613,-658.95294,949.60535,-127.03882,-626.6172,961.6775,-17.080933,145.0299,0
