%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 2
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-815.9415,98.26514,0
-491.85638,-139.50122,0
427.35596,656.6078,0
-1.9598999,154.25732,0
683.54456,-85.813416,1
126.867676,173.37793,0
-923.92444,704.6417,0
390.5796,-893.6356,1
-126.09412,628.3478,0
223.30225,-692.5144,1
136.93323,14.642456,0
-789.72614,-348.10858,0
975.6387,-256.11816,1
739.8479,-998.5587,1
-141.65381,968.68945,0
-990.58014,-127.63031,0
815.52515,455.41003,0
-127.60419,483.8058,0
-380.9217,260.91406,0
-601.90686,-233.44708,0
55.571655,766.54395,0
-786.276,624.4269,0
-734.1188,-289.8675,0
707.3806,-234.1618,1
789.7434,788.6625,0
993.2073,-238.79913,1
-567.7855,-351.71796,0
174.70789,632.13306,0
360.05945,635.02454,0
-110.5965,241.31152,0
-60.394043,548.7273,0
-622.1758,-972.7687,1
-256.38812,-175.71704,0
-607.923,-783.99146,1
-116.78137,-941.50433,1
144.00696,-457.23877,1
-637.9321,-392.54126,0
-809.7752,-272.01093,0
-496.8179,-901.493,1
661.04846,479.76526,0
-334.77734,132.4408,0
562.66455,630.4442,0
443.25403,-804.1417,1
16.586792,-833.0214,1
340.16016,860.07166,0
-752.2502,376.83264,0
-501.62723,-287.77307,0
-107.65454,-893.1356,1
497.58813,-854.11646,1
-231.22687,220.44507,0
-547.3352,132.45435,0
639.8408,-261.5282,1
686.9082,401.5453,0
-308.37976,862.82043,0
-890.5321,-922.62683,1
-535.87646,106.177124,0
91.58313,-249.91486,1
791.23755,-909.92255,1
-885.0661,204.93921,0
942.11316,223.3711,1
756.3655,-411.0512,1
603.4762,-563.7761,1
676.7732,-336.2669,1
602.09106,420.15527,0
-802.0515,-25.04187,0
338.8734,412.50537,0
779.7029,-737.10925,1
790.91296,-535.89014,1
250.60254,-754.76874,1
-365.06335,-658.1422,1
-0.8381958,22.52887,0
555.50305,743.1946,0
498.35913,788.1271,0
-876.5107,337.52283,0
-485.1454,-731.27563,1
-234.80658,299.84692,0
-854.6945,378.27698,0
289.64368,464.89368,0
425.6875,937.11316,0
201.47034,-994.66174,1
675.55225,989.76526,0
598.9617,-374.35223,1
967.6582,-750.8305,1
841.6909,-336.5484,1
154.43628,501.52295,0
369.36743,203.23486,0
-263.7384,425.22766,0
-936.6688,332.54346,0
522.5205,208.99353,0
364.3723,-991.2215,1
-485.02368,-401.69006,1
-4.6710205,-344.9489,1
-266.04395,556.1389,0
-415.82416,566.4551,0
811.391,592.82324,0
743.0851,483.50977,0
90.76514,-998.15845,1
-768.793,-722.5863,1
702.53577,732.1852,0
713.6825,592.14014,0
624.61084,-565.2293,1
-673.33594,501.2981,0
-909.0201,-660.5558,1
-232.11035,-236.92963,0
-122.38641,-949.228,1
954.61926,-905.56647,1
973.25916,-905.0448,1
425.5066,-963.74646,1
933.7794,-893.15546,1
-389.7508,443.74146,0
-177.80634,-84.82678,0
850.6199,412.14526,0
-947.40106,465.76685,0
-371.24628,-464.5559,1
-315.3391,-483.37225,1
-156.67377,-203.79907,0
756.3843,-654.5647,1
171.52576,97.621704,0
96.384766,-670.85974,1
-435.511,474.25806,0
-277.09857,-813.0237,1
-253.86584,355.68433,0
415.30396,922.34753,0
220.08923,907.86426,0
-665.1354,-944.30365,1
736.68384,439.8219,0
675.0818,609.5929,0
-568.2666,-861.386,1
237.85303,-511.0697,1
-78.88727,983.4946,0
560.3202,393.2484,0
-480.11823,590.5574,0
-241.78778,-795.14746,1
-548.00916,952.02356,0
605.0403,-84.47003,1
426.35852,559.74133,0
532.5044,586.31213,0
-722.61755,-759.65045,1
215.99268,578.86816,0
502.70618,-820.05115,1
200.06885,353.75525,0
478.3341,-920.98254,1
-377.6424,-500.10275,1
-109.051636,-846.30493,1
510.2544,341.29578,0
-500.4484,787.4513,0
-646.59863,-538.875,1
-276.6789,-962.45355,1
695.88806,-210.00024,1
-250.1726,913.5812,0
-654.3522,-475.65436,1
867.537,-629.1774,1
464.54126,-927.55676,1
-451.21844,298.8866,0
281.12964,-530.1421,1
444.1444,-563.25525,1
459.1571,-737.39386,1
-103.520874,107.91577,0
258.28113,-274.44788,1
842.5425,945.0929,0
539.5984,465.16748,0
42.485718,-638.6538,1
397.03503,949.92786,0
462.21838,-574.56537,1
736.6836,318.261,0
-669.0765,11.646973,0
-520.3146,-66.89679,0
-94.236206,619.9872,0
230.26953,583.75574,0
298.09216,100.40637,0
229.0813,979.8827,0
-149.76166,-334.82385,1
202.94336,239.12354,0
499.21375,36.387573,1
325.7096,438.9403,0
-676.56067,-649.04724,1
920.8895,-15.044067,1
-959.1318,-466.6267,0
-234.76599,542.1848,0
-388.35846,246.93298,0
-106.50958,-417.8073,1
295.6781,-753.1363,1
658.0498,-781.6318,1
-474.63104,-15.580627,0
463.2256,-66.87457,1
-224.19202,-351.3105,1
72.41748,-955.00055,1
249.76135,-516.6299,1
677.43115,320.2373,0
-358.16132,178.60193,0
-977.2614,-997.3738,1
506.09802,413.37695,0
793.48193,-283.05707,1
-176.41858,211.90356,0
-795.46484,-804.45215,1
-748.9582,677.7134,0
268.95923,-415.71082,1
-770.60834,-117.8194,0
-422.30402,-796.979,1
-359.83594,-790.4822,1
-411.6336,67.681885,0
20.54718,-701.79846,1
-600.448,-774.97876,1
482.3158,-130.82794,1
777.9542,7.697937,1
427.25146,-805.95795,1
809.343,-313.37744,1
-88.59473,731.93945,0
960.2201,-320.95233,1
82.82678,551.5011,0
565.6393,-534.942,1
502.14526,-445.07635,1
-200.35834,-328.25116,1
352.65637,-766.13135,1
-961.7217,-596.47736,0
-443.66718,712.41125,0
191.2091,-171.42462,1
634.4424,170.10876,0
-943.6174,275.78333,0
786.2239,-611.33887,1
43.317017,652.84265,0
106.337036,128.52063,0
-285.98303,865.6553,0
121.564575,-682.7975,1
-493.42072,100.592285,0
899.51575,618.9386,0
735.05164,325.411,0
866.8429,855.70337,0
500.13025,-828.7611,1
-828.25244,962.5364,0
-501.20874,-522.8196,1
-64.67822,685.474,0
-113.02759,210.74133,0
-941.4685,68.29419,0
-672.0673,221.40833,0
-613.5818,924.6664,0
149.9353,341.3606,0
978.3584,-44.804382,1
140.41492,716.4293,0
-7.012085,-55.768433,0
-80.1936,932.0674,0
268.66064,559.21277,0
-933.2766,493.22314,0
65.0813,-324.30048,1
-792.8008,523.66187,0
629.0134,-135.85498,1
-865.79047,169.41345,0
-743.2693,699.8418,0
689.7167,-877.33325,1
-651.8512,-104.62775,0
619.99097,926.57275,0
-417.66772,905.28174,0
905.9769,278.0586,1
-208.65295,-384.414,1
173.99243,-585.10535,1
369.1858,6.111389,1
-291.93933,-145.10217,0
-875.235,261.56018,0
-686.3087,249.29688,0
372.75415,707.58215,0
823.9452,918.92065,0
-246.7337,-838.97485,1
392.12903,761.01855,0
781.2036,-191.07263,1
881.48474,646.15576,0
-551.6853,568.70557,0
640.75244,-831.2285,1
-664.20856,-967.6179,1
745.5023,-328.3728,1
-357.5064,560.5873,0
-611.354,-166.48907,0
293.65808,-132.53864,1
-480.44623,791.2081,0
-132.78595,-474.52698,1
59.718872,-239.11371,1
-540.4091,-780.44,1
63.927612,430.68445,0
810.1731,292.8911,0
-950.5923,-984.5646,1
13.318909,-848.0644,1
-618.5573,796.0946,0
969.1271,436.41956,0
82.45935,210.5841,0
-641.09674,510.1388,0
-277.3946,-880.59436,1
378.53882,-208.51294,1
-846.64526,738.5144,0
-277.21533,717.9513,0
761.69104,913.588,0
-614.33435,726.7141,0
-349.0631,-96.03711,0
-272.9505,533.8959,0
-304.6902,651.15405,0
952.6459,-792.1424,1
-231.1944,-373.98737,1
664.4802,-942.6201,1
615.02014,-219.78168,1
-538.8485,-806.5812,1
803.04126,-128.05957,1
-298.05176,773.5353,0
-994.4463,492.1477,0
-503.8361,-599.0194,1
-561.1799,487.18262,0
738.7157,925.8168,0
-279.78802,154.85876,0
585.4409,-16.666504,1
-372.51605,-414.51892,1
146.20605,5.4226074,0
-715.0011,-174.1723,0
371.23267,-846.5453,1
155.62598,-836.7268,1
-884.19257,646.5973,0
-116.94867,758.87524,0
-809.188,297.40222,0
507.75586,-897.6141,1
841.2705,716.88245,0
870.92944,-681.2123,1
-457.61908,614.1869,0
124.10718,-774.8999,1
-737.7371,891.37524,0
178.33032,-782.16235,1
412.91455,821.6831,0
655.1472,-434.35602,1
595.645,-499.94153,1
442.7871,488.26697,0
944.5073,-32.356323,1
-685.6444,-477.82013,1
-618.9734,-62.735657,0
-769.08484,-895.2064,1
415.78198,-115.12097,1
-69.16998,-946.65247,1
-732.83215,422.33508,0
-802.2302,-328.79443,0
14.92395,329.66357,0
803.2848,-416.57532,1
-734.2104,400.54126,0
535.8756,85.10474,1
380.90588,342.43298,0
957.00305,780.1687,0
699.35095,373.323,0
565.49207,-405.13812,1
-610.5383,-130.16711,0
905.3058,-130.59863,1
569.36084,446.91248,0
-182.32349,162.84619,0
-839.626,187.18396,0
517.0995,650.3992,0
-428.2163,-611.59375,1
461.708,-451.0072,1
-237.36072,160.42334,0
-907.93365,-123.8479,0
-513.8983,478.3424,0
-571.56714,-971.2323,1
-405.93085,-113.41333,0
-754.9429,-837.44763,1
-835.402,948.8523,0
-918.9028,-840.4033,1
911.8943,-248.10718,1
701.2522,-909.4225,1
848.4215,296.4442,0
785.2261,-490.18283,1
-509.06845,-553.50684,1
603.6505,665.5277,0
-963.00385,-741.516,1
-770.8868,764.21814,0
-114.12372,-25.051392,0
-565.54926,-202.6175,0
637.3379,-257.56573,1
-153.51611,120.22778,0
274.28406,201.49695,0
151.88623,966.33765,0
-380.15875,496.91504,0
192.89331,-611.1843,1
-643.1972,-30.827759,0
644.0768,737.58496,0
-92.90228,-186.3523,1
627.4219,-285.83356,1
291.21875,331.83984,0
101.45996,289.39783,0
722.3097,-950.6535,1
151.23218,-673.8074,1
-863.1221,-61.79181,0
409.36243,618.5857,0
-876.1389,-743.38293,1
-245.45227,-760.05457,1
-213.95312,-893.1187,1
162.27747,587.3782,0
952.6072,-287.0724,1
123.617676,315.98877,0
-141.22668,-368.48627,1
-598.5928,475.80273,0
-81.55194,-363.2865,1
-940.7712,-404.2038,0
537.8113,855.13,0
-322.9641,203.61841,0
-947.25446,879.6776,0
458.32886,326.2362,0
-179.82861,-947.32776,1
537.2926,-114.13336,1
-746.85205,-115.649536,0
-789.67896,587.20593,0
-838.1394,-339.16217,0
44.86975,886.1044,0
147.38416,-304.02942,1
859.5962,-63.523132,1
-7.628296,394.26892,0
-576.7422,31.37854,0
-997.40955,-682.25037,1
-614.1394,-14.183899,0
-924.51294,-212.84259,0
434.05835,153.00781,0
-93.26807,198.58289,0
953.82556,-677.5574,1
192.95874,199.32812,0
586.9392,617.2313,0
-51.31964,142.26965,0
-16.18103,-310.11542,1
127.625854,825.8605,0
-216.20532,9.788879,0
-376.48682,-572.6968,1
394.88306,842.29785,0
-577.4662,749.3146,0
498.67065,-361.50684,1
-810.4066,426.29712,0
